Actor1Code,Actor1Name,Actor1Type1Code,Actor1CountryCode,Actor2Code,Actor2Name,Actor2Type1Code,Actor2CountryCode,YearMin,YearMax,EventCode,consolidatedAvgTone,eventCount
USAGOVPTY,HILLARY CLINTON,GOV,USA,USABUS,UNITED STATES,BUS,USA,2015,2015,051,-1.445086705202315,1
USAGOV,US AMBASSADOR,GOV,USA,CHNBUS,CHINA,BUS,CHN,2011,2011,051,7.14285714285714,1
IRQGOV,IRAQI,GOV,IRQ,JORBUS,JORDANIAN,BUS,JOR,1996,2000,051,0.72597301488235,2
CANGOV,CANADA,GOV,CAN,CANBUS,NOVA SCOTIA,BUS,CAN,2014,2014,051,0.2782611497808714,2
FRAGOV,FRANCE,GOV,FRA,USAGOVBUS,UNITED STATES,GOV,USA,2014,2014,051,2.8892455858748,1
CANGOV,CANADA,GOV,CAN,USABUS,UNITED STATES,BUS,USA,2014,2014,114,0.9208283080954724,2
SYRGOV,SYRIAN,GOV,SYR,SYRBUS,SYRIA,BUS,SYR,2015,2015,057,0.1322751322751325,1
NGAGOV,NIGERIA,GOV,NGA," NGAGOVBUS",ISA YUGUDA,GOV,NGA,2013,2013,056,1.27906976744186,1
ITAGOV,TOMMASO PADOA SCHIOPPA,GOV,ITA,NLDBUS,DUTCH,BUS,NLD,2007,2007,050,2.00836820083682,1
TJKGOV,TAJIK,GOV,TJK,TJKGOVBUS,FARRUKH HAMRALIYEV,GOV,TJK,2010,2010,057,6.61764705882353,1
OMNGOV,OMAN,GOV,OMN,KWTBUS,KUWAITI,BUS,KWT,2012,2012,057,1.032608695652174,1
USAGOV,TENNESSEE,GOV,USA,USABUS,TENNESSEE,BUS,USA,1983,1983,110,0.6142034548944341,1
ALBGOV,ALBANIAN,GOV,ALB,LBNBUS,LEBANESE,BUS,LBN,2014,2014,051,0.46641791044776,1
NERGOV,NIGER,GOV,NER,NGAGOVBUS,NIGERIA,GOV,NGA,2011,2011,051,5.55555555555555,1
JPNGOV,NOBUTERU ISHIHARA,GOV,JPN,JPNGOVBUS,CHIKAGE OGI,GOV,JPN,2003,2003,111,1.1194029850746259,1
EGYGOV,EGYPTIAN,GOV,EGY,MEXGOVBUS,MEXICAN,GOV,MEX,2011,2011,051,1.3026052104208425,1
RUSGOV,RUSSIA,GOV,RUS,BLRGOVBUS,BELARUS,GOV,BLR,2001,2001,057,2.02788339670469,1
USAGOV,OBAMA,GOV,USA,CHNBUS,CHINA,BUS,CHN,2012,2012,110,0.3423495794435442,1
DZAGOV,ALGERIAN,GOV,DZA,RUSBUS,RUSSIAN,BUS,RUS,2010,2010,050,0.689655172413794,1
GBRGOV,UNITED KINGDOM,GOV,GBR,USAMEDBUS,REUTERS,MED,USA,2012,2012,051,0.6410256410256411,1
DEUGOV,GERMAN,GOV,DEU,PAKBUS,PAKISTANI,BUS,PAK,2016,2016,050,0.3436426116838483,1
USAGOV,THE WHITE HOUSE,GOV,USA,USAGOVBUS,KANSAS CITY,GOV,USA,2016,2016,050,-0.71895424836601,1
USAGOV,NASA,GOV,USA,USABUS,UNITED STATES,BUS,USA,2015,2016,057,-0.6498837081957417,3
USAGOV,HILLARY CLINTON,GOV,USA,USAELIBUS,GEORGE SOROS,ELI,USA,2016,2016,110,-0.494398815510113,5
USAGOV,OBAMA,GOV,USA,USABUS,AMERICAN,BUS,USA,2009,2016,051,0.3217196015286457,40
USAGOV,NASA,GOV,USA,IRLBUS,IRISH,BUS,IRL,2016,2016,111,0.09199632014719333,1
GMBGOV,GAMBIA,GOV,GMB,IGOWAFBUSWAS,ECOWAS,IGO,WAF,2016,2016,114,-1.897668393782385,1
BGDGOV,BANGLADESH,GOV,BGD,GBRBUS,BRITISH,BUS,GBR,2016,2016,057,0.2635591265184111,2
